crispr_1	2L	94.44	18	1	0	2	19	9544039	9544022	0.27	28.3
crispr_1	2L	94.12	17	1	0	2	18	1817069	1817085	0.95	26.5
crispr_1	2L	89.47	19	2	0	4	22	5072157	5072139	0.95	26.5
crispr_1	2L	93.75	16	1	0	4	19	4899751	4899766	3.3	24.7
crispr_1	2L	93.75	16	1	0	5	20	6351157	6351142	3.3	24.7
crispr_1	2L	93.75	16	1	0	1	16	6495920	6495905	3.3	24.7
crispr_1	2L	93.75	16	1	0	4	19	9470215	9470200	3.3	24.7
crispr_2	2L	94.12	17	1	0	4	20	4521837	4521853	0.95	26.5
crispr_2	2L	89.47	19	2	0	4	22	10139393	10139411	0.95	26.5
crispr_2	2L	89.47	19	2	0	4	22	10864083	10864101	0.95	26.5
crispr_3	2L	88.89	18	2	0	2	19	717633	717650	3.3	24.7
crispr_3	2L	93.75	16	1	0	5	20	749136	749151	3.3	24.7
crispr_3	2L	93.75	16	1	0	2	17	8758625	8758610	3.3	24.7
crispr_3	2L	93.75	16	1	0	5	20	9545011	9544996	3.3	24.7
crispr_3	2L	93.75	16	1	0	6	21	11179475	11179460	3.3	24.7
crispr_4	2L	88.89	18	2	0	4	21	7150843	7150826	3.3	24.7
crispr_5	2L	89.47	19	2	0	1	19	4782572	4782554	0.95	26.5
crispr_5	2L	94.12	17	1	0	1	17	5051940	5051924	0.95	26.5
crispr_5	2L	88.89	18	2	0	4	21	1518688	1518671	3.3	24.7
crispr_5	2L	93.75	16	1	0	2	17	6298245	6298260	3.3	24.7
crispr_5	2L	93.75	16	1	0	8	23	14819520	14819505	3.3	24.7
crispr_5	2L	93.75	16	1	0	8	23	21324762	21324777	3.3	24.7
crispr_7	2L	94.12	17	1	0	6	22	7583547	7583531	0.95	26.5
crispr_7	2L	93.75	16	1	0	1	16	7776377	7776392	3.3	24.7
crispr_7	2L	88.89	18	2	0	3	20	19316233	19316216	3.3	24.7
crispr_8	2L	95.00	20	0	1	1	19	10652643	10652624	0.27	28.3
crispr_8	2L	94.12	17	1	0	5	21	13647086	13647070	0.95	26.5
crispr_8	2L	94.12	17	1	0	5	21	13656135	13656119	0.95	26.5
crispr_8	2L	94.12	17	1	0	3	19	17348383	17348399	0.95	26.5
crispr_8	2L	93.75	16	1	0	4	19	662991	663006	3.3	24.7
crispr_8	2L	93.75	16	1	0	6	21	2335697	2335682	3.3	24.7
crispr_8	2L	93.75	16	1	0	6	21	5364139	5364124	3.3	24.7
crispr_8	2L	88.89	18	2	0	5	22	6549002	6548985	3.3	24.7
crispr_9	2L	94.44	18	1	0	3	20	9840478	9840495	0.27	28.3
crispr_9	2L	94.12	17	1	0	5	21	18786991	18786975	0.95	26.5
crispr_9	2L	88.89	18	2	0	3	20	640431	640448	3.3	24.7
crispr_9	2L	88.89	18	2	0	3	20	4706081	4706098	3.3	24.7
crispr_9	2L	93.75	16	1	0	5	20	12031656	12031641	3.3	24.7
crispr_9	2L	93.75	16	1	0	1	16	18500457	18500442	3.3	24.7
crispr_10	2L	89.47	19	2	0	5	23	925880	925862	0.95	26.5
crispr_10	2L	94.74	19	0	1	5	23	5160063	5160046	0.95	26.5
crispr_10	2L	88.89	18	2	0	4	21	2423746	2423729	3.3	24.7
crispr_10	2L	93.75	16	1	0	7	22	14725371	14725356	3.3	24.7
crispr_11	2L	93.75	16	1	0	4	19	15471528	15471543	3.3	24.7
crispr_12	2L	94.44	18	1	0	5	22	16929817	16929834	0.27	28.3
crispr_12	2L	89.47	19	2	0	2	20	13967161	13967179	0.95	26.5
crispr_14	2L	94.74	19	1	0	3	21	6018790	6018808	0.078	30.1
crispr_14	2L	90.91	22	0	1	1	20	12298339	12298318	0.27	28.3
crispr_14	2L	89.47	19	2	0	5	23	11516263	11516281	0.95	26.5
crispr_14	2L	94.12	17	1	0	6	22	20991963	20991947	0.95	26.5
crispr_14	2L	93.75	16	1	0	1	16	1707965	1707950	3.3	24.7
crispr_14	2L	88.89	18	2	0	6	23	5927666	5927649	3.3	24.7
crispr_14	2L	93.75	16	1	0	1	16	7002749	7002764	3.3	24.7
crispr_14	2L	88.89	18	2	0	5	22	19195591	19195574	3.3	24.7
crispr_15	2L	94.12	17	1	0	2	18	13444291	13444275	0.95	26.5
crispr_15	2L	93.75	16	1	0	5	20	10464968	10464983	3.3	24.7
crispr_16	2L	94.44	18	1	0	1	18	11493388	11493405	0.27	28.3
crispr_17	2L	88.89	18	2	0	3	20	17954714	17954731	3.3	24.7
crispr_17	2L	93.75	16	1	0	3	18	22149706	22149721	3.3	24.7
crispr_20	2L	90.00	20	2	0	4	23	14622016	14621997	0.27	28.3
crispr_20	2L	85.71	21	3	0	1	21	14383571	14383591	3.3	24.7
crispr_20	2L	93.75	16	1	0	8	23	20978890	20978905	3.3	24.7
crispr_21	2L	94.12	17	1	0	5	21	8312621	8312605	0.95	26.5
crispr_21	2L	88.89	18	2	0	5	22	4589210	4589227	3.3	24.7
crispr_24	2L	94.12	17	1	0	6	22	8285972	8285988	0.95	26.5
crispr_24	2L	93.75	16	1	0	5	20	179466	179481	3.3	24.7
crispr_24	2L	88.89	18	2	0	3	20	21063979	21063996	3.3	24.7
crispr_25	2L	95.24	21	1	0	3	23	7128559	7128579	0.006	33.7
crispr_25	2L	91.30	23	1	1	1	22	1903388	1903366	0.078	30.1
crispr_25	2L	90.48	21	2	0	2	22	12773015	12773035	0.078	30.1
crispr_25	2L	94.44	18	1	0	3	20	3677455	3677438	0.27	28.3
crispr_25	2L	94.44	18	1	0	3	20	8980917	8980934	0.27	28.3
crispr_25	2L	94.44	18	1	0	3	20	9699099	9699082	0.27	28.3
crispr_25	2L	90.00	20	2	0	2	21	11444415	11444434	0.27	28.3
crispr_25	2L	90.00	20	2	0	2	21	18619399	18619418	0.27	28.3
crispr_25	2L	89.47	19	2	0	2	20	178961	178943	0.95	26.5
crispr_25	2L	86.96	23	0	1	3	22	3713630	3713652	0.95	26.5
crispr_25	2L	94.12	17	1	0	3	19	4027677	4027693	0.95	26.5
crispr_25	2L	94.12	17	1	0	3	19	5116795	5116779	0.95	26.5
crispr_25	2L	94.12	17	1	0	1	17	5596626	5596610	0.95	26.5
crispr_25	2L	86.96	23	0	1	2	21	7189153	7189131	0.95	26.5
crispr_25	2L	89.47	19	2	0	4	22	8291275	8291293	0.95	26.5
crispr_25	2L	94.12	17	1	0	5	21	8415318	8415334	0.95	26.5
crispr_25	2L	94.12	17	1	0	7	23	8762190	8762206	0.95	26.5
crispr_25	2L	90.48	21	1	1	2	21	11558902	11558882	0.95	26.5
crispr_25	2L	94.12	17	1	0	3	19	14152315	14152331	0.95	26.5
crispr_25	2L	94.12	17	1	0	3	19	14174043	14174027	0.95	26.5
crispr_25	2L	94.12	17	1	0	3	19	17445846	17445862	0.95	26.5
crispr_25	2L	89.47	19	2	0	3	21	17544795	17544813	0.95	26.5
crispr_25	2L	94.12	17	1	0	3	19	17624327	17624343	0.95	26.5
crispr_25	2L	94.12	17	1	0	6	22	17902628	17902612	0.95	26.5
crispr_25	2L	94.12	17	1	0	3	19	20904451	20904435	0.95	26.5
crispr_25	2L	94.12	17	1	0	4	20	20962913	20962929	0.95	26.5
crispr_25	2L	94.12	17	1	0	2	18	21770553	21770569	0.95	26.5
crispr_25	2L	93.75	16	1	0	4	19	649790	649805	3.3	24.7
crispr_25	2L	93.75	16	1	0	4	19	909145	909130	3.3	24.7
crispr_25	2L	93.75	16	1	0	4	19	1858533	1858548	3.3	24.7
crispr_25	2L	93.75	16	1	0	2	17	2507977	2507992	3.3	24.7
crispr_25	2L	88.89	18	2	0	3	20	3418625	3418642	3.3	24.7
