"x" "y"
-0.517405793583021 0
-0.570274983579293 0
-0.443119159247726 0
-0.151161823933944 2
-0.562792736385018 0
0.190424637822434 6
0.000543537503108427 2
-0.421590538276359 0
-0.131790486210957 4
-0.667054766835645 0
-0.572804230777547 0
-0.0093032948672771 4
-0.273302977485582 3
-0.00625928682275112 1
-0.0172880038619041 3
-0.00027685570530589 8
-0.414669419452548 0
0.0339980315882713 1
-0.409867072757333 0
-0.698562769731507 0
-0.580920781521127 0
0.270414907904342 8
-0.446018588775769 0
-0.0228010851889848 2
0.0986556296236814 2
-0.0477405828889459 3
-0.640380105981603 0
-0.58243618584238 0
-0.0287585040088743 8
-0.0284043348394334 2
-0.445717420009896 0
-0.474558581179008 0
0.161146117094904 5
-0.116439175838605 3
-0.105872996663675 1
-0.254386620875448 1
-0.111917230580002 1
-0.194716568384319 1
-0.0618565897922962 1
0.0517812023870647 1
-0.558492306666449 0
-0.222219703299925 0
0.0684268462471664 5
-0.391144832177088 0
0.054373676609248 3
-0.495860824873671 0
-0.695159822516143 0
-0.314027618663385 0
0.26086131921038 8
-0.388830927712843 0
0.161274810973555 4
0.135247185314074 7
0.122143083205447 5
-0.16098225703463 2
-0.00304536339826877 5
-0.390462035825476 1
-0.594149682717398 0
-0.036058170069009 0
-0.0347562374547123 6
-0.39820091733709 0
-0.320939671294764 0
0.272514885244891 9
-0.605809383140877 0
-0.593386027542874 0
-0.566269558435306 0
-0.263732751179486 1
-0.570426940033212 0
0.146510349772871 4
-0.649080927995965 0
-0.436577957868576 2
0.276981278741732 5
-0.280602420959622 1
0.0516003923956305 3
-0.04043427137658 2
-0.625485024927184 0
-0.544847067026421 0
0.140732996119186 4
0.140930053265765 4
0.0551306672394276 6
-0.648690783465281 1
-0.50932779959403 1
-0.292570086708292 2
-0.433687763568014 0
-0.651048856601119 0
-0.376982847042382 0
-0.497710373764858 0
0.232805693941191 9
0.289524968434125 19
-0.0990318707656115 2
-0.303938819374889 1
-0.446167751261964 0
0.277093294961378 6
0.238298072433099 7
-0.295936090452597 1
0.260093047004193 13
-0.41046359045431 0
-0.412762729264796 0
-0.401762553537264 0
-0.43595493636094 2
0.0595126240048558 4
-0.602976415352896 0
-0.526105304295197 1
-0.212599628185853 1
0.109285442344844 4
-0.413575361762196 0
-0.471672775968909 1
-0.306241818284616 0
0.258101965719834 9
-0.385602902201936 3
-0.492461635079235 1
0.151034968160093 4
-0.654508305992931 0
0.272065642243251 8
0.232011956814677 8
0.272907153656706 5
0.0591693412978203 3
0.0771088883746416 3
-0.532149335183203 1
-0.508729485608637 0
-0.584451344609261 0
